#NAME=latitude,longitude,absolute-altitude,heading
OSRF0=37.4003371,-122.0800351,0,353
OSRF0_PILOTSBOX=37.4003371,-122.0800351,2,270
CMAC=-35.363261,149.165230,584,353
CMAC_South=-35.363261,149.165230,584,173
CMAC_PILOTSBOX=-35.362734,149.165300,586,270
Kingaroy=-26.583528,151.840440,444,169
AVC=40.0713749,-105.2297889,1583.702759,246
AVC_copter=40.072842,-105.230575,1586,0
AVC_plane=40.072842,-105.230575,1586,80
McMillan=35.718719,-120.769818,275,295
McMillan_East=35.7168007,-120.7644466,275,295
TomCarpark=26.048950,-80.254219,6,270
Ballarat=-37.598705,143.881744,485,165
3DRBerkeley=37.872991,-122.302348,20,260
BMAC=-35.226343,149.132122,588,301
LGAT=37.889063,23.731863,21,330
BHV=53.547767,8.626440,0,324
QMAC=-35.363724,149.430011,740,312
Karuizawa=36.324306,138.639282,938,0
Dalby=-27.274439,151.290064,343,8.7
RFRanch=37.118079,-2.773690,1297.88,180
KSFO=37.619373,-122.376637,5.3,118
NFSC=53.637561,9.929800,13,345
Rotherham=53.275131,-1.19404,21,360
LeeField=32.42553,-84.79109,75,260
Sterling=38.982480,-77.439567,88,90
EPIgijon=43.521902,-5.624310,22,0
PerkinsField=36.163609,-78.806864,137,20
KNUI=38.145322,-76.426652,7,70
Range11=41.360461,-74.032838,220,180
Flicker=39.018801,-104.893081,2158,180
ElliottField=34.458281,-84.180209,450,130
CobbCountyRC=34.013819,-84.724446,280,105
Test0=-35.363261,149.165230,584,353
Test1=-37.8136,144.8631,26.9,0      #Melbourne
Test2=-36.7570,144.2794,227.0,0     #Melbourne outer
Test3=-33.865143,151.209900,18.2,0  #Sydney
Test4=-33.80770,151.02955,13.8,0    #Sydney Outer
Test5=-27.46716,153.02616,30.2,0    #Brisbane
Test6=-27.62149,152.75734,59.7,0    #Brisbane Outer
Test7=-12.39165,130.90004,27.3,0    #Darwin
Test8=-12.30378,131.14105,32.4,0    #Darwin Outer
Test9=-35.28164,149.12868,575.1,0   #Canberra
Test10=-35.35882,149.23279,582,0    #Canberra Outer
Test11=-34.92788,138.59991,44.8,0   #Adelaide
Test12=-34.83973,138.68042,96.0,0   #Adelaide Outer
Test13=-31.94794,115.86267,18.8,0   #Perth
Test14=-31.85190,115.97305,21.2,0   #Perth Outer
Test15=-29.77213,151.11076,587.2,0  #Inverell
Test16=-36.75787,144.28122,221.8,0  #Bendigo
Test17=-27.19235,151.25702,340.5,0  #Dalby
Test18=-37.55655,143.83713,455.8,0  #Ballarat
Test19=-23.51992,148.14514,179.0,0  #Emerald
Test20=-23.69924,133.88257,581.6,0  #Alice Springs
Test21=-34.74613,149.71069,666.0,0  #Goulburn
Test22=-34.82113,148.90663,485.1,0  #Yass
Test23=-30.82022,138.41319,246.5,0  #Beltana
Test24=-31.09351,150.93181,383.8,0  #Tamworth
Test25=-34.52692,144.91241,91.0,0   #Hay
Test26=-32.30075,150.91711,220.5,0  #Musswellbrook
Test27=-32.32029,150.79206,129.0,0  #Bengalla
Test28=-31.53297,149.37140,409.8,0  #Binnaway
Test29=-23.52252,148.86157,174.2,0  #Blackwater
Test30=-31.78057,118.77199,416.4,0  #Muntadgin
Test31=-28.99922,140.99909,117.8,0  #Cameron’s Corner
Test32=-23.55453,148.29765,191.6,0  #Comet
Test33=-23.43569,144.24313,186.8,0  #Longreach
Test34=-20.69762,139.50806,350.7,0  #Mt Isa
